started_at,classic_bike_rentals
2020-12-02,301
2020-12-03,669
2020-12-04,3190
2020-12-05,3586
2020-12-06,2485
2020-12-07,2915
2020-12-08,2968
2020-12-09,4248
2020-12-10,4830
2020-12-11,2305
2020-12-12,1364
2020-12-13,2863
2020-12-14,2688
2020-12-15,2804
2020-12-16,2259
2020-12-17,2428
2020-12-18,3041
2020-12-19,3111
2020-12-20,2496
2020-12-21,2779
2020-12-22,2963
2020-12-23,2749
2020-12-24,919
2020-12-25,440
2020-12-26,1435
2020-12-27,2069
2020-12-28,2241
2020-12-29,1663
2020-12-30,1155
2020-12-31,1652
2021-01-01,618
2021-01-02,1460
2021-01-03,1568
2021-01-04,2063
2021-01-05,2486
2021-01-06,2537
2021-01-07,2426
2021-01-08,2381
2021-01-09,3123
2021-01-10,2110
2021-01-11,2220
2021-01-12,2817
2021-01-13,2923
2021-01-14,2303
2021-01-15,2583
2021-01-16,2048
2021-01-17,1526
2021-01-18,2337
2021-01-19,2032
2021-01-20,1684
2021-01-21,2764
2021-01-22,1977
2021-01-23,2204
2021-01-24,1856
2021-01-25,1945
2021-01-26,816
2021-01-27,1468
2021-01-28,1738
2021-01-29,2049
2021-01-30,1354
2021-01-31,284
2021-02-01,1243
2021-02-02,1591
2021-02-03,1855
2021-02-04,1107
2021-02-05,859
2021-02-06,556
2021-02-07,489
2021-02-08,788
2021-02-09,1044
2021-02-10,926
2021-02-11,971
2021-02-12,1267
2021-02-13,464
2021-02-14,461
2021-02-15,294
2021-02-16,213
2021-02-17,459
2021-02-18,554
2021-02-19,696
2021-02-20,795
2021-02-21,636
2021-02-22,1089
2021-02-23,2062
2021-02-24,2270
2021-02-25,2276
2021-02-26,2750
2021-02-27,5012
2021-02-28,2285
2021-03-01,2353
2021-03-02,2781
2021-03-03,3943
2021-03-04,2844
2021-03-05,3903
2021-03-06,4715
2021-03-07,4547
2021-03-08,6372
2021-03-09,7579
2021-03-10,5334
2021-03-11,5484
2021-03-12,5129
2021-03-13,8585
2021-03-14,3530
2021-03-15,1462
2021-03-16,2883
2021-03-17,2476
2021-03-18,2332
2021-03-19,4256
2021-03-20,8211
2021-03-21,10849
2021-03-22,7582
2021-03-23,3495
2021-03-24,5313
2021-03-25,4014
2021-03-26,3974
2021-03-27,7994
2021-03-28,4721
2021-03-29,5765
2021-03-30,6129
2021-03-31,3990
2021-04-01,3297
2021-04-02,5656
2021-04-03,12377
2021-04-04,11192
2021-04-05,7653
2021-04-06,11351
2021-04-07,10431
2021-04-08,3410
2021-04-09,8050
2021-04-10,3445
2021-04-11,7096
2021-04-12,7360
2021-04-13,6601
2021-04-14,5242
2021-04-15,5444
2021-04-16,6980
2021-04-17,8724
2021-04-18,8182
2021-04-19,4264
2021-04-20,4071
2021-04-21,4113
2021-04-22,6787
2021-04-23,8346
2021-04-24,9538
2021-04-25,5655
2021-04-26,9341
2021-04-27,11909
2021-04-28,4233
2021-04-29,6245
2021-04-30,7626
2021-05-01,15447
2021-05-02,16053
2021-05-03,6502
2021-05-04,5824
2021-05-05,7755
2021-05-06,5608
2021-05-07,7783
2021-05-08,8994
2021-05-09,4174
2021-05-10,5583
2021-05-11,6554
2021-05-12,7891
2021-05-13,9436
2021-05-14,11239
2021-05-15,8224
2021-05-16,13358
2021-05-17,8713
2021-05-18,7130
2021-05-19,9262
2021-05-20,11976
2021-05-21,13903
2021-05-22,20998
2021-05-23,12437
2021-05-24,11469
2021-05-25,10922
2021-05-26,12247
2021-05-27,6696
2021-05-28,3769
2021-05-29,12106
2021-05-30,14913
2021-05-31,12127
2021-06-01,11357
2021-06-02,11654
2021-06-03,13553
2021-06-04,14560
2021-06-05,20834
2021-06-06,17035
2021-06-07,10472
2021-06-08,13257
2021-06-09,14694
2021-06-10,15214
2021-06-11,17006
2021-06-12,20700
2021-06-13,22026
2021-06-14,13922
2021-06-15,14680
2021-06-16,15740
2021-06-17,15664
2021-06-18,17487
2021-06-19,23920
2021-06-20,13822
2021-06-21,12852
2021-06-22,15060
2021-06-23,14474
2021-06-24,8731
2021-06-25,9184
2021-06-26,8015
2021-06-27,17165
2021-06-28,9506
2021-06-29,10651
2021-06-30,11785
2021-07-01,15542
2021-07-02,15890
2021-07-03,20053
2021-07-04,20024
2021-07-05,16960
2021-07-06,13848
2021-07-07,13663
2021-07-08,13832
2021-07-09,18002
2021-07-10,15005
2021-07-11,7144
2021-07-12,11486
2021-07-13,13597
2021-07-14,15282
2021-07-15,12538
2021-07-16,13331
2021-07-17,23051
2021-07-18,20063
2021-07-19,13917
2021-07-20,15232
2021-07-21,15620
2021-07-22,16552
2021-07-23,15883
2021-07-24,20943
2021-07-25,20990
2021-07-26,15830
2021-07-27,16449
2021-07-28,16867
2021-07-29,17834
2021-07-30,18074
2021-07-31,23407
2021-08-01,18976
2021-08-02,14158
2021-08-03,14522
2021-08-04,15063
2021-08-05,16092
2021-08-06,16868
2021-08-07,23157
2021-08-08,17129
2021-08-09,10155
2021-08-10,12552
2021-08-11,13446
2021-08-12,15568
2021-08-13,18079
2021-08-14,25775
2021-08-15,20366
2021-08-16,14060
2021-08-17,15231
2021-08-18,16041
2021-08-19,16018
2021-08-20,17410
2021-08-21,20387
2021-08-22,19926
2021-08-23,14177
2021-08-24,10367
2021-08-25,12545
2021-08-26,15995
2021-08-27,16376
2021-08-28,19510
2021-08-29,14867
2021-08-30,14140
2021-08-31,14077
2021-09-01,16212
2021-09-02,15739
2021-09-03,14023
2021-09-04,17043
2021-09-05,20787
2021-09-06,18510
2021-09-07,11508
2021-09-08,15581
2021-09-09,15750
2021-09-10,16718
2021-09-11,21176
2021-09-12,17388
2021-09-13,12930
2021-09-14,14670
2021-09-15,16548
2021-09-16,17323
2021-09-17,16472
2021-09-18,20572
2021-09-19,17769
2021-09-20,11499
2021-09-21,10491
2021-09-22,10072
2021-09-23,12275
2021-09-24,14505
2021-09-25,18158
2021-09-26,15374
2021-09-27,12170
2021-09-28,12866
2021-09-29,14200
2021-09-30,13955
2021-10-01,15324
