started_at,dock_bike_rentals
2020-03-01,7413
2020-03-02,8335
2020-03-03,8218
2020-03-04,8396
2020-03-05,8269
2020-03-06,6138
2020-03-07,6703
2020-03-08,11170
2020-03-09,4505
2020-03-10,7827
2020-03-11,7631
2020-03-12,8349
2020-03-13,7077
2020-03-14,2979
2020-03-15,3318
2020-03-16,3626
2020-03-17,4398
2020-03-18,2110
2020-03-19,2002
2020-03-20,2331
2020-03-21,2126
2020-03-22,1321
2020-03-23,1966
2020-03-24,2431
2020-03-25,5161
2020-03-26,1664
2020-03-27,1490
2020-03-28,1443
2020-03-29,1461
2020-03-30,1938
2020-03-31,1622
2020-04-01,2294
2020-04-02,2608
2020-04-03,3532
2020-04-04,2288
2020-04-05,2887
2020-04-06,2427
2020-04-07,5185
2020-04-08,2365
2020-04-09,1972
2020-04-10,2721
2020-04-11,4458
2020-04-12,3670
2020-04-13,1820
2020-04-14,1609
2020-04-15,1419
2020-04-16,2272
2020-04-17,1435
2020-04-18,5116
2020-04-19,5158
2020-04-20,3903
2020-04-21,2627
2020-04-22,1995
2020-04-23,2284
2020-04-24,2284
2020-04-25,1048
2020-04-26,6200
2020-04-27,2595
2020-04-28,3392
2020-04-29,645
2020-04-30,2567
2020-05-01,4751
2020-05-02,11811
2020-05-03,9414
2020-05-04,2634
2020-05-05,1953
2020-05-06,4775
2020-05-07,4997
2020-05-08,2793
2020-05-09,7945
2020-05-10,1394
2020-05-11,2871
2020-05-12,4745
2020-05-13,5762
2020-05-14,3036
2020-05-15,7031
2020-05-16,8975
2020-05-17,691
2020-05-18,3885
2020-05-19,2852
2020-05-20,6348
2020-05-21,5602
2020-05-22,7569
2020-05-23,8784
2020-05-24,14836
2020-05-25,14268
2020-05-26,7711
2020-05-27,8121
2020-05-28,6785
2020-05-29,10580
2020-05-30,17162
2020-05-31,193
2020-06-01,0
2020-06-02,0
2020-06-03,6296
2020-06-04,7628
2020-06-05,8922
2020-06-06,15239
2020-06-07,13224
2020-06-08,10368
2020-06-09,5608
2020-06-10,7676
2020-06-11,12275
2020-06-12,11989
2020-06-13,14278
2020-06-14,14602
2020-06-15,10164
2020-06-16,12081
2020-06-17,12827
2020-06-18,13319
2020-06-19,16307
2020-06-20,14665
2020-06-21,14824
2020-06-22,7036
2020-06-23,13692
2020-06-24,12890
2020-06-25,16001
2020-06-26,6228
2020-06-27,20499
