started_at,elect_bike_rentals
2020-07-13,8
2020-07-14,14
2020-07-15,13
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,31
2020-07-29,287
2020-07-30,745
2020-07-31,837
2020-08-01,1003
2020-08-02,814
2020-08-03,871
2020-08-04,906
2020-08-05,1100
2020-08-06,1462
2020-08-07,1748
2020-08-08,1660
2020-08-09,1658
2020-08-10,1049
2020-08-11,1613
2020-08-12,1758
2020-08-13,2244
2020-08-14,2719
2020-08-15,2596
2020-08-16,2955
2020-08-17,2510
2020-08-18,2684
2020-08-19,2299
2020-08-20,2395
2020-08-21,2415
2020-08-22,2384
2020-08-23,1932
2020-08-24,1894
2020-08-25,2343
2020-08-26,2721
2020-08-27,3011
2020-08-28,3282
2020-08-29,3655
2020-08-30,3449
2020-08-31,3065
2020-09-01,2202
2020-09-02,3771
2020-09-03,3749
2020-09-04,3988
2020-09-05,4196
2020-09-06,3316
2020-09-07,3969
2020-09-08,1687
2020-09-09,2860
2020-09-10,2696
2020-09-11,3641
2020-09-12,2834
2020-09-13,4469
2020-09-14,3230
2020-09-15,4008
2020-09-16,4439
2020-09-17,4663
2020-09-18,4782
2020-09-19,5657
2020-09-20,5365
2020-09-21,4273
2020-09-22,5007
2020-09-23,5302
2020-09-24,5738
2020-09-25,6742
2020-09-26,6942
2020-09-27,5887
2020-09-28,3595
2020-09-29,4610
2020-09-30,4734
2020-10-01,4180
2020-10-02,5852
2020-10-03,5334
2020-10-04,4439
2020-10-05,4523
2020-10-06,5706
2020-10-07,5832
2020-10-08,6447
2020-10-09,7840
2020-10-10,8211
2020-10-11,6526
2020-10-12,3871
2020-10-13,5811
2020-10-14,5773
2020-10-15,5307
2020-10-16,5041
2020-10-17,6006
2020-10-18,2468
2020-10-19,3292
2020-10-20,3991
2020-10-21,4242
2020-10-22,5681
2020-10-23,3384
2020-10-24,5260
2020-10-25,3756
2020-10-26,2906
2020-10-27,2711
2020-10-28,4027
2020-10-29,3831
2020-10-30,4205
2020-10-31,5723
2020-11-01,2906
2020-11-02,3538
2020-11-03,5151
2020-11-04,5048
2020-11-05,5444
2020-11-06,6759
2020-11-07,9096
2020-11-08,6766
2020-11-09,5551
2020-11-10,3790
2020-11-11,3839
2020-11-12,4060
2020-11-13,3736
2020-11-14,3320
2020-11-15,1807
2020-11-16,2989
2020-11-17,2795
2020-11-18,3176
2020-11-19,3962
2020-11-20,4097
2020-11-21,3298
2020-11-22,2070
2020-11-23,2594
2020-11-24,1248
2020-11-25,1314
2020-11-26,1418
2020-11-27,2047
2020-11-28,2696
2020-11-29,2087
2020-11-30,1532
2020-12-01,1693
2020-12-02,1917
2020-12-03,2059
2020-12-04,2258
2020-12-05,2214
2020-12-06,1613
2020-12-07,1698
2020-12-08,1679
2020-12-09,2236
2020-12-10,2585
2020-12-11,1491
2020-12-12,1033
2020-12-13,1780
2020-12-14,1638
2020-12-15,1701
2020-12-16,1477
2020-12-17,1515
2020-12-18,1888
2020-12-19,1754
2020-12-20,1626
2020-12-21,1753
2020-12-22,1754
2020-12-23,1653
2020-12-24,712
2020-12-25,364
2020-12-26,842
2020-12-27,1177
2020-12-28,1281
2020-12-29,909
2020-12-30,655
2020-12-31,998
2021-01-01,403
2021-01-02,703
2021-01-03,741
2021-01-04,1099
2021-01-05,1268
2021-01-06,1233
2021-01-07,1379
2021-01-08,1415
2021-01-09,1627
2021-01-10,1105
2021-01-11,1118
2021-01-12,1301
2021-01-13,1455
2021-01-14,1238
2021-01-15,1459
2021-01-16,1151
2021-01-17,927
2021-01-18,1189
2021-01-19,1096
2021-01-20,992
2021-01-21,1386
2021-01-22,1116
2021-01-23,1266
2021-01-24,1069
2021-01-25,1051
2021-01-26,438
2021-01-27,777
2021-01-28,846
2021-01-29,1164
2021-01-30,818
2021-01-31,198
2021-02-01,538
2021-02-02,714
2021-02-03,829
2021-02-04,608
2021-02-05,460
2021-02-06,285
2021-02-07,70
2021-02-08,135
2021-02-09,238
2021-02-10,312
2021-02-11,392
2021-02-12,557
2021-02-13,254
2021-02-14,31
2021-02-15,55
2021-02-16,68
2021-02-17,173
2021-02-18,239
2021-02-19,282
2021-02-20,328
2021-02-21,255
2021-02-22,416
2021-02-23,720
2021-02-24,819
2021-02-25,851
2021-02-26,1042
2021-02-27,1713
2021-02-28,955
2021-03-01,1046
2021-03-02,1195
2021-03-03,1589
2021-03-04,1057
2021-03-05,1347
2021-03-06,1645
2021-03-07,1423
2021-03-08,1993
2021-03-09,2173
2021-03-10,1722
2021-03-11,1801
2021-03-12,1770
2021-03-13,2777
2021-03-14,1443
2021-03-15,715
2021-03-16,1255
2021-03-17,1182
2021-03-18,1289
